full_name,department_id
Gelengül Şama,6
Selvi Yaman,2
Öğr. Ahter Bilgin Durmuş,5
Öğr. Yıldız Altınçiçek Şama Korutürk,2
Arş. Gör. Beste Seven Sezgin,4
Nazlim Eraslan,8
Aytek Sakarya,3
Bay Enes Çıdal Bilge,7
Prof. Gök Bilge Demirel,4
Şahmettin Kopan Yüksel Karadeniz,8
Şehza Bilginur Akgündüz,5
Uz. Kayıt Sayrak Akgündüz,1
Altınbike İnönü,5
Yamin İlalmış Seven,8
Barışcan Öcalan,2
Şefiye Dumanlı,10
Faize Aksu,9
Yazgül Hansultan Arslan,8
Okt. Bağdat Yüksel Fırat,10
Teksoy Baytal Aksu,6
Ferahdiba Şafak,2
Uz. Fidaye İnönü Akçay,2
Temime Gül,3
Siper Güçlü,9
Doç. Haliye Zelha Ertaş,1
Bidayet Cevale Hayrioğlu,9
Av. Muvahhide Amre Zorlu,7
Turcein Gülen Akar,9
Nirgül Akçay,6
Çev. Seblâ Neşrin Öcalan Demirel,8
Seniha Yorulmaz,5
Uz. Mükrüme Yurtseven Yaman,3
Koçak Tevetoğlu,10
Prof. Hazine Tayyibe Yüksel,7
Rıfkıye Erdoğan,7
Av. Hiçsönmez Türkmen İhsanoğlu,1
Cihan Şama Erdoğan,6
Doç. Irıs Safura Sakarya Fırat,9
Gülsü İhsanoğlu,1
Öğr. Merim Merim İnönü Erdoğan,9
Nurtaç Heva Soylu Akgündüz,8
Güçyeter Dumanlı,4
Öğr. Eriş Ahter Akdeniz,8
Akboğa Yıldırım,6
Prof. Hanedan Çorlu,5
Arş. Gör. Çinerk Arsoy,1
Av. Dinçsü Yaman,2
Sencar Gülen,6
Damlanur Çorlu,7
İsmet Candeniz Seven,2
